keyframe_index,clip,t,is_clip_boundary,bone_name,overlap_class,signed_distance,center_x,center_y,center_z,half_x,half_y,half_z,facing_yaw,state
11,sitting_idle,0.4286,0,mixamorig:LeftArm,free,0.22686195373535156,13.552973747253418,16.421993255615234,13.96352767944336,0.07000000029802322,0.1392076015472412,0.07000000029802322,0.0,sitting_idle
11,sitting_idle,0.4286,0,mixamorig:RightArm,free,0.19626808166503906,13.139195442199707,16.422584533691406,13.932933807373047,0.07000000029802322,0.13920758664608002,0.07000000029802322,0.0,sitting_idle
11,sitting_idle,0.4286,0,mixamorig:LeftForeArm,free,0.37059783935546875,13.518545150756836,16.210763931274414,14.107263565063477,0.07000000029802322,0.1416441649198532,0.07000000029802322,0.0,sitting_idle
11,sitting_idle,0.4286,0,mixamorig:RightForeArm,free,0.34923648834228516,13.169865608215332,16.21066665649414,14.085902214050293,0.07000000029802322,0.1416441947221756,0.07000000029802322,0.0,sitting_idle
11,sitting_idle,0.4286,0,mixamorig:LeftUpLeg,free,0.41140174865722656,13.483610153198242,16.1168270111084,14.15806770324707,0.07999999821186066,0.221856951713562,0.07999999821186066,0.0,sitting_idle
11,sitting_idle,0.4286,0,mixamorig:RightUpLeg,free,0.4160623550415039,13.202088356018066,16.11484146118164,14.162728309631348,0.07999999821186066,0.22185730934143066,0.07999999821186066,0.0,sitting_idle
11,sitting_idle,0.4286,0,mixamorig:LeftLeg,free,0.5852146148681641,13.517111778259277,15.877054214477539,14.331880569458008,0.07999999821186066,0.22263923287391663,0.07999999821186066,0.0,sitting_idle
11,sitting_idle,0.4286,0,mixamorig:RightLeg,free,0.5925092697143555,13.176380157470703,15.876360893249512,14.3391752243042,0.07999999821186066,0.2226390540599823,0.07999999821186066,0.0,sitting_idle
12,sitting_idle,0.5714,0,mixamorig:Head,free,0.1965894252061844,13.344550132751465,16.821125030517578,13.980212211608887,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.0,sitting_idle
12,sitting_idle,0.5714,0,mixamorig:Spine2,free,0.17585182189941406,13.335031509399414,16.58987045288086,13.94251823425293,0.10000000149011612,0.06548324227333069,0.10000000149011612,0.0,sitting_idle
12,sitting_idle,0.5714,0,mixamorig:Spine1,free,0.20500850677490234,13.333093643188477,16.455516815185547,13.971674919128418,0.10000000149011612,0.046610455960035324,0.10000000149011612,0.0,sitting_idle
12,sitting_idle,0.5714,0,mixamorig:Hips,free,0.15067005157470703,13.333780288696289,16.150041580200195,13.917336463928223,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,sitting_idle
12,sitting_idle,0.5714,0,mixamorig:LeftArm,free,0.22806930541992188,13.55174446105957,16.42449188232422,13.96473503112793,0.07000000029802322,0.1392076015472412,0.07000000029802322,0.0,sitting_idle
12,sitting_idle,0.5714,0,mixamorig:RightArm,free,0.1969890594482422,13.13811206817627,16.42379379272461,13.93365478515625,0.07000000029802322,0.13920758664608002,0.07000000029802322,0.0,sitting_idle
12,sitting_idle,0.5714,0,mixamorig:LeftForeArm,free,0.37110424041748047,13.517718315124512,16.211101531982422,14.107769966125488,0.07000000029802322,0.1416441649198532,0.07000000029802322,0.0,sitting_idle
12,sitting_idle,0.5714,0,mixamorig:RightForeArm,free,0.3488016128540039,13.169599533081055,16.210487365722656,14.085467338562012,0.07000000029802322,0.1416441947221756,0.07000000029802322,0.0,sitting_idle
